expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
shoulder,shoulder,word,肩かた,肩かた,junior_high,1,5,5;4;3,名詞,5:535;4:119;3:882,3
sing,sing,word,歌うたう,歌うたう,junior_high,1,5,5;4,,5:123;4:271,2
sister,sister,word,姉妹しまい,姉妹しまい,junior_high,1,5,5;4,,5:394;4:238,2
sit,sit,word,着席ちゃくせきする,着席ちゃくせきする,junior_high,1,5,5;4,,5:93;4:16,2
six,six,word,6,6,junior_high,1,5,5;4,,5:47;4:264,2
sixteen,sixteen,word,16,16,junior_high,1,5,5;4,,5:479;4:491,2
sixty,sixty,word,60,60,junior_high,1,5,5;4,,5:309;4:566,2
sleep,sleep,word,眠ねむる,眠ねむる,junior_high,1,5,5;4,,5:303;4:499,2
small,small,word,小ちいさい,小ちいさい,junior_high,1,5,5;4,,5:306;4:229,2
snake,snake,word,蛇へび,蛇へび,junior_high,1,5,5;4,,5:359;4:426,2
snowy,snowy,word,雪ゆきの降ふる,雪ゆきの降ふる,junior_high,1,5,5;4,,5:348;4:305,2
soft,soft,word,柔やわらかい,柔やわらかい,junior_high,1,5,5;4,,5:253;4:280,2
sometimes,sometimes,word,時々ときどき,時々ときどき,junior_high,1,5,5;4;3,副詞,5:563;4:226;3:158,3
sorry,sorry,word,ごめんなさい,ごめんなさい,junior_high,1,5,5;4,,5:286;4:649,2
soup,soup,word,スープ,スープ,junior_high,1,5,5;4,,5:235;4:215,2
speak,speak,word,話はなす,話はなす,junior_high,1,5,5;4;3,動詞,5:258;4:266;3:620,3
spell,spell,word,を綴つづる,を綴つづる,junior_high,1,5,5;4,,5:372;4:290,2
